Year,CouncilArea,Type,Rooms,Distance,Price,Yearly Incidents Recorded,"Yearly Rate per 100,000 population"
2016,Banyule City Council,h,1,8.8,520500.0,7391,5758
2016,Banyule City Council,h,2,7.8,905000.0,7391,5758
2016,Banyule City Council,h,2,8.8,624142.8571428572,7391,5758
2016,Banyule City Council,h,2,8.9,771000.0,7391,5758
2016,Banyule City Council,h,2,12.1,321666.6666666667,7391,5758
2016,Banyule City Council,h,2,12.7,823600.0,7391,5758
2016,Banyule City Council,h,2,14.5,697000.0,7391,5758
2016,Banyule City Council,h,2,16.1,555375.0,7391,5758
2016,Banyule City Council,h,2,16.2,632200.0,7391,5758
2016,Banyule City Council,h,3,7.8,1275204.5454545454,7391,5758
2016,Banyule City Council,h,3,8.8,684996.6666666666,7391,5758
2016,Banyule City Council,h,3,8.9,974820.0,7391,5758
2016,Banyule City Council,h,3,12.1,632386.71875,7391,5758
2016,Banyule City Council,h,3,12.7,759157.8947368421,7391,5758
2016,Banyule City Council,h,3,14.5,708343.75,7391,5758
2016,Banyule City Council,h,3,14.6,855000.0,7391,5758
2016,Banyule City Council,h,3,16.1,710332.7586206896,7391,5758
2016,Banyule City Council,h,3,16.2,801500.0,7391,5758
2016,Banyule City Council,h,3,18.0,823800.0,7391,5758
2016,Banyule City Council,h,4,7.8,1763500.0,7391,5758
2016,Banyule City Council,h,4,8.8,856285.7142857143,7391,5758
2016,Banyule City Council,h,4,8.9,1272314.2857142857,7391,5758
2016,Banyule City Council,h,4,12.1,754537.0222222222,7391,5758
2016,Banyule City Council,h,4,12.7,833000.0,7391,5758
2016,Banyule City Council,h,4,14.5,808166.6666666666,7391,5758
2016,Banyule City Council,h,4,14.6,895800.0,7391,5758
2016,Banyule City Council,h,4,16.1,833366.6666666666,7391,5758
2016,Banyule City Council,h,4,16.2,837937.5,7391,5758
2016,Banyule City Council,h,4,18.0,958191.1764705882,7391,5758
2016,Banyule City Council,h,5,7.8,2585875.0,7391,5758
2016,Banyule City Council,h,5,8.8,1080833.3333333333,7391,5758
2016,Banyule City Council,h,5,8.9,1540500.0,7391,5758
2016,Banyule City Council,h,5,12.1,944200.0,7391,5758
2016,Banyule City Council,h,5,12.7,1680000.0,7391,5758
2016,Banyule City Council,h,5,14.6,850000.0,7391,5758
2016,Banyule City Council,h,5,16.1,1147166.6666666667,7391,5758
2016,Banyule City Council,h,5,16.2,993000.0,7391,5758
2016,Banyule City Council,h,5,18.0,1049583.3333333333,7391,5758
2016,Banyule City Council,h,6,8.9,1227500.0,7391,5758
2016,Banyule City Council,h,6,12.1,650500.0,7391,5758
2016,Banyule City Council,h,6,16.2,910000.0,7391,5758
2016,Banyule City Council,h,7,12.1,735000.0,7391,5758
2016,Banyule City Council,h,8,8.8,770000.0,7391,5758
2016,Banyule City Council,t,2,7.8,721000.0,7391,5758
2016,Banyule City Council,t,2,8.8,467500.0,7391,5758
2016,Banyule City Council,t,2,8.9,607750.0,7391,5758
2016,Banyule City Council,t,2,12.1,420250.0,7391,5758
2016,Banyule City Council,t,2,12.7,572000.0,7391,5758
2016,Banyule City Council,t,2,14.5,485000.0,7391,5758
2016,Banyule City Council,t,2,16.1,522500.0,7391,5758
2016,Banyule City Council,t,2,16.2,515000.0,7391,5758
2016,Banyule City Council,t,2,18.0,520000.0,7391,5758
2016,Banyule City Council,t,3,7.8,829285.7142857143,7391,5758
2016,Banyule City Council,t,3,8.8,620000.0,7391,5758
2016,Banyule City Council,t,3,8.9,785071.4285714285,7391,5758
2016,Banyule City Council,t,3,12.1,450250.0,7391,5758
2016,Banyule City Council,t,3,12.7,542500.0,7391,5758
2016,Banyule City Council,t,3,16.1,625833.3333333334,7391,5758
2016,Banyule City Council,t,3,16.2,835500.0,7391,5758
2016,Banyule City Council,t,4,8.8,755000.0,7391,5758
2016,Banyule City Council,u,1,7.8,417333.3333333333,7391,5758
2016,Banyule City Council,u,1,8.9,400000.0,7391,5758
2016,Banyule City Council,u,1,12.1,290000.0,7391,5758
2016,Banyule City Council,u,1,12.7,357000.0,7391,5758
2016,Banyule City Council,u,2,7.8,558400.0,7391,5758
2016,Banyule City Council,u,2,8.8,451000.0,7391,5758
2016,Banyule City Council,u,2,8.9,536178.5714285715,7391,5758
2016,Banyule City Council,u,2,12.1,466000.0,7391,5758
2016,Banyule City Council,u,2,12.7,568833.3333333334,7391,5758
2016,Banyule City Council,u,2,14.5,342500.0,7391,5758
2016,Banyule City Council,u,2,14.6,527200.0,7391,5758
2016,Banyule City Council,u,2,16.1,492142.85714285716,7391,5758
2016,Banyule City Council,u,2,16.2,415000.0,7391,5758
2016,Banyule City Council,u,2,18.0,467000.0,7391,5758
2016,Banyule City Council,u,3,7.8,955000.0,7391,5758
2016,Banyule City Council,u,3,8.8,752000.0,7391,5758
2016,Banyule City Council,u,3,8.9,776571.4285714285,7391,5758
2016,Banyule City Council,u,3,12.1,470250.0,7391,5758
2016,Banyule City Council,u,3,12.7,640000.0,7391,5758
2016,Banyule City Council,u,3,14.5,543000.0,7391,5758
2016,Banyule City Council,u,3,16.1,620500.0,7391,5758
2016,Banyule City Council,u,3,16.2,762000.0,7391,5758
2016,Banyule City Council,u,3,18.0,604620.0,7391,5758
2016,Banyule City Council,u,4,8.9,780000.0,7391,5758
2016,Banyule City Council,u,4,12.1,505000.0,7391,5758
2016,Bayside City Council,h,1,10.5,1775000.0,4052,3916
2016,Bayside City Council,h,1,13.8,2450000.0,4052,3916
2016,Bayside City Council,h,2,10.3,1315888.888888889,4052,3916
2016,Bayside City Council,h,2,10.5,1283888.888888889,4052,3916
2016,Bayside City Council,h,2,13.8,1382200.0,4052,3916
2016,Bayside City Council,h,2,15.2,1610000.0,4052,3916
2016,Bayside City Council,h,2,16.0,1071200.0,4052,3916
2016,Bayside City Council,h,2,17.3,1245000.0,4052,3916
2016,Bayside City Council,h,2,17.9,843800.1,4052,3916
2016,Bayside City Council,h,3,10.3,1408847.8260869565,4052,3916
2016,Bayside City Council,h,3,10.5,1949203.125,4052,3916
2016,Bayside City Council,h,3,13.8,1346655.1724137932,4052,3916
2016,Bayside City Council,h,3,15.2,1507900.0,4052,3916
2016,Bayside City Council,h,3,16.0,1041620.6896551724,4052,3916
2016,Bayside City Council,h,3,17.3,1532814.8148148148,4052,3916
2016,Bayside City Council,h,3,17.9,982478.1818181818,4052,3916
2016,Bayside City Council,h,4,10.3,1956605.2631578948,4052,3916
2016,Bayside City Council,h,4,10.5,3003620.3333333335,4052,3916
2016,Bayside City Council,h,4,13.8,2034083.3333333333,4052,3916
2016,Bayside City Council,h,4,15.2,2105269.230769231,4052,3916
2016,Bayside City Council,h,4,16.0,1357588.2352941176,4052,3916
2016,Bayside City Council,h,4,17.3,1836108.1081081082,4052,3916
2016,Bayside City Council,h,4,17.9,1123630.4347826086,4052,3916
2016,Bayside City Council,h,5,10.3,2059312.5,4052,3916
2016,Bayside City Council,h,5,10.5,3035950.0,4052,3916
2016,Bayside City Council,h,5,13.8,2592500.0,4052,3916
2016,Bayside City Council,h,5,15.2,2690636.3636363638,4052,3916
2016,Bayside City Council,h,5,16.0,1341666.6666666667,4052,3916
2016,Bayside City Council,h,5,17.3,1813333.3333333333,4052,3916
2016,Bayside City Council,h,5,17.9,1257200.0,4052,3916
2016,Bayside City Council,h,6,10.5,2700000.0,4052,3916
2016,Bayside City Council,h,6,17.3,1300000.0,4052,3916
2016,Bayside City Council,t,1,10.3,681000.0,4052,3916
2016,Bayside City Council,t,2,10.3,958000.0,4052,3916
2016,Bayside City Council,t,2,10.5,1180000.0,4052,3916
2016,Bayside City Council,t,2,13.8,902750.0,4052,3916
2016,Bayside City Council,t,2,16.0,744500.0,4052,3916
2016,Bayside City Council,t,2,17.3,856000.0,4052,3916
2016,Bayside City Council,t,2,17.9,706000.0,4052,3916
2016,Bayside City Council,t,3,10.3,1264000.0,4052,3916
2016,Bayside City Council,t,3,10.5,1555777.7777777778,4052,3916
2016,Bayside City Council,t,3,13.8,1267833.3333333333,4052,3916
2016,Bayside City Council,t,3,15.2,1155500.0,4052,3916
2016,Bayside City Council,t,3,16.0,883750.0,4052,3916
2016,Bayside City Council,t,3,17.3,1166309.5238095238,4052,3916
2016,Bayside City Council,t,3,17.9,841961.6153846154,4052,3916
2016,Bayside City Council,t,4,10.3,1597400.0,4052,3916
2016,Bayside City Council,t,4,10.5,2525000.0,4052,3916
2016,Bayside City Council,t,4,13.8,1357777.7777777778,4052,3916
2016,Bayside City Council,t,4,15.2,1337000.0,4052,3916
2016,Bayside City Council,t,4,16.0,1110000.0,4052,3916
2016,Bayside City Council,t,4,17.3,1601666.6666666667,4052,3916
2016,Bayside City Council,t,4,17.9,975000.0,4052,3916
2016,Bayside City Council,t,5,13.8,1750000.0,4052,3916
2016,Bayside City Council,u,1,10.5,523000.0,4052,3916
2016,Bayside City Council,u,1,13.8,445000.0,4052,3916
2016,Bayside City Council,u,1,16.0,380000.0,4052,3916
2016,Bayside City Council,u,1,17.9,310000.0,4052,3916
2016,Bayside City Council,u,2,10.3,754777.7777777778,4052,3916
2016,Bayside City Council,u,2,10.5,804352.0,4052,3916
2016,Bayside City Council,u,2,13.8,730722.2222222222,4052,3916
2016,Bayside City Council,u,2,15.2,717250.0,4052,3916
2016,Bayside City Council,u,2,16.0,576600.0,4052,3916
2016,Bayside City Council,u,2,17.3,733750.0,4052,3916
2016,Bayside City Council,u,2,17.9,511937.5,4052,3916
2016,Bayside City Council,u,3,10.3,1355000.0,4052,3916
2016,Bayside City Council,u,3,10.5,1186954.5454545454,4052,3916
2016,Bayside City Council,u,3,13.8,733333.3333333334,4052,3916
2016,Bayside City Council,u,3,16.0,757500.0,4052,3916
2016,Bayside City Council,u,3,17.3,861250.0,4052,3916
